 Initializing N=10000 matrices in memory...
 --- MMM Speedup Test (N=10000) ---
 Threads | Time (s) | MFLOPS
      1 |  674.184 |     2966.5
      2 |  332.733 |     6010.8
      3 |  219.947 |     9093.1
      4 |  182.930 |    10933.2
      5 |  145.550 |    13741.0
      6 |  121.618 |    16445.0
      7 |  106.487 |    18781.6
      8 |   94.735 |    21111.4
      9 |   88.297 |    22650.7
     10 |   87.908 |    22751.1
