 Initializing N=10000 matrices in memory...
 --- MMM Speedup Test (N=10000) ---
 Threads | Time (s) | MFLOPS
      1 |  656.803 |     3045.1
      2 |  319.213 |     6265.4
      3 |  220.219 |     9081.9
      4 |  179.775 |    11125.0
      5 |  148.025 |    13511.2
      6 |  123.272 |    16224.2
      7 |  107.169 |    18662.2
      8 |   94.337 |    21200.5
      9 |   96.726 |    20676.9
     10 |   95.987 |    20836.3
