 dot result | N=         100  | MFLOPS:   209.71519999999998       | TIME:   9.5367431640625000E-007
 vvm result | N=         100  | MFLOPS:   1997.2876190476190       | TIME:   5.0067901611328125E-006
 mvv result | N=         100  | MFLOPS:   1421.7979661016950       | TIME:   1.4066696166992188E-005
 mmm result | N=         100  | MFLOPS:   4616.7352779306548       | TIME:   4.3320655822753906E-004
 dot result | N=         500  | MFLOPS:   1048.5760000000000       | TIME:   9.5367431640625000E-007
 vvm result | N=         500  | MFLOPS:   1581.5625942684767       | TIME:   1.5807151794433594E-004
 mvv result | N=         500  | MFLOPS:   3813.0036363636364       | TIME:   1.3113021850585938E-004
 mmm result | N=         500  | MFLOPS:   21271.447408459277       | TIME:   1.1752843856811523E-002
 dot result | N=        1000  | MFLOPS:   2097.1520000000000       | TIME:   9.5367431640625000E-007
 vvm result | N=        1000  | MFLOPS:   1545.4325718496684       | TIME:   6.4706802368164062E-004
 mvv result | N=        1000  | MFLOPS:   3839.1798627002290       | TIME:   5.2094459533691406E-004
 mmm result | N=        1000  | MFLOPS:   26271.211494857631       | TIME:   7.6128959655761719E-002
 dot result | N=        1500  | MFLOPS:   3145.7280000000001       | TIME:   9.5367431640625000E-007
 vvm result | N=        1500  | MFLOPS:   1490.1601136901943       | TIME:   1.5099048614501953E-003
 mvv result | N=        1500  | MFLOPS:   3512.8174204355109       | TIME:   1.2810230255126953E-003
 mmm result | N=        1500  | MFLOPS:   27385.696376890101       | TIME:  0.24647903442382812     
 dot result | N=        2000  | MFLOPS:   2097.1520000000000       | TIME:   1.9073486328125000E-006
 vvm result | N=        2000  | MFLOPS:   1305.9248073480189       | TIME:   3.0629634857177734E-003
 mvv result | N=        2000  | MFLOPS:   3105.4541416011107       | TIME:   2.5761127471923828E-003
 mmm result | N=        2000  | MFLOPS:   27742.812212170167       | TIME:  0.57672595977783203     
 dot result | N=        3000  | MFLOPS:   2796.2026666666666       | TIME:   2.1457672119140625E-006
 vvm result | N=        3000  | MFLOPS:   1123.7418432960228       | TIME:   8.0089569091796875E-003
 mvv result | N=        3000  | MFLOPS:   2584.7331986716422       | TIME:   6.9639682769775391E-003
 mmm result | N=        3000  | MFLOPS:   27798.772370016137       | TIME:   1.9425318241119385     
 dot result | N=        4000  | MFLOPS:   2581.1101538461539       | TIME:   3.0994415283203125E-006
 vvm result | N=        4000  | MFLOPS:   1139.9307638735540       | TIME:   1.4035940170288086E-002
 mvv result | N=        4000  | MFLOPS:   2470.0527807427584       | TIME:   1.2955188751220703E-002
 mmm result | N=        4000  | MFLOPS:   28011.873211465780       | TIME:   4.5694909095764160     
 dot result | N=        5000  | MFLOPS:   1398.1013333333333       | TIME:   7.1525573730468750E-006
 vvm result | N=        5000  | MFLOPS:   1152.1167305769507       | TIME:   2.1699190139770508E-002
 mvv result | N=        5000  | MFLOPS:   2428.2429224801713       | TIME:   2.0591020584106445E-002
 mmm result | N=        5000  | MFLOPS:   28108.328643366815       | TIME:   8.8941609859466553     
 dot result | N=        6000  | MFLOPS:   2960.6851764705884       | TIME:   4.0531158447265625E-006
 vvm result | N=        6000  | MFLOPS:   1167.0114540985887       | TIME:   3.0848026275634766E-002
 mvv result | N=        6000  | MFLOPS:   2468.8916430942299       | TIME:   2.9162883758544922E-002
 mmm result | N=        6000  | MFLOPS:   28162.781228075775       | TIME:   15.339394092559814     
 dot result | N=        7000  | MFLOPS:   1779.4016969696968       | TIME:   7.8678131103515625E-006
 vvm result | N=        7000  | MFLOPS:   1171.3529089914280       | TIME:   4.1831970214843750E-002
 mvv result | N=        7000  | MFLOPS:   2479.7555004554806       | TIME:   3.9520025253295898E-002
 mmm result | N=        7000  | MFLOPS:   28206.317221713394       | TIME:   24.320792913436890     
 dot result | N=        8000  | MFLOPS:   3195.6601904761906       | TIME:   5.0067901611328125E-006
 vvm result | N=        8000  | MFLOPS:   1165.8181407569868       | TIME:   5.4897069931030273E-002
 mvv result | N=        8000  | MFLOPS:   2523.2097681566738       | TIME:   5.0729036331176758E-002
 mmm result | N=        8000  | MFLOPS:   28259.518816015181       | TIME:   36.235578060150146     
 dot result | N=        9000  | MFLOPS:   1797.5588571428571       | TIME:   1.0013580322265625E-005
 vvm result | N=        9000  | MFLOPS:   1173.3696574923758       | TIME:   6.9031953811645508E-002
 mvv result | N=        9000  | MFLOPS:   2593.4147121575870       | TIME:   6.2465906143188477E-002
 mmm result | N=        9000  | MFLOPS:   28257.196796375418       | TIME:   51.597474813461304     
 dot result | N=       10000  | MFLOPS:   3355.4432000000002       | TIME:   5.9604644775390625E-006
 vvm result | N=       10000  | MFLOPS:   1166.6561895887514       | TIME:   8.5715055465698242E-002
 mvv result | N=       10000  | MFLOPS:   2616.9421307128373       | TIME:   7.6425075531005859E-002
 mmm result | N=       10000  | MFLOPS:   28249.063993450924       | TIME:   70.798805952072144     
