 DLS result | N=         100  | RESIDUAL:   4247.0764171505552       | MFLOPS:   1286.7936800122716       | TIME:   5.1808357238769531E-004
 DLS result | N=         500  | RESIDUAL:   126346.50392980287       | MFLOPS:   9898.2026884156458       | TIME:   8.4190368652343750E-003
 DLS result | N=        1000  | RESIDUAL:   57218.548852884327       | MFLOPS:   15975.653558362708       | TIME:   4.1730165481567383E-002
 DLS result | N=        1500  | RESIDUAL:   233258.25006734015       | MFLOPS:   18990.055417604039       | TIME:  0.11848306655883789     
 DLS result | N=        2000  | RESIDUAL:   860659.54356268269       | MFLOPS:   20682.182726833697       | TIME:  0.25787091255187988     
 DLS result | N=        3000  | RESIDUAL:   242747.47596651941       | MFLOPS:   22529.147725136383       | TIME:  0.79896497726440430     
 DLS result | N=        4000  | RESIDUAL:   1548227.6796110822       | MFLOPS:   23629.155759211269       | TIME:   1.8056788444519043     
 DLS result | N=        5000  | RESIDUAL:   1627414.3201071229       | MFLOPS:   24389.698714733939       | TIME:   3.4167430400848389     
 DLS result | N=        6000  | RESIDUAL:   1599678.3614951202       | MFLOPS:   24929.777441040231       | TIME:   5.7762248516082764     
 DLS result | N=        7000  | RESIDUAL:   1654411.2800973596       | MFLOPS:   25283.000831530200       | TIME:   9.0442850589752197     
 DLS result | N=        8000  | RESIDUAL:   2184391.5961176846       | MFLOPS:   25554.906231879380       | TIME:   13.356861114501953     
 DLS result | N=        9000  | RESIDUAL:   2044209.3192128709       | MFLOPS:   25888.204955393132       | TIME:   18.773028135299683     
 DLS result | N=       10000  | RESIDUAL:   19921214.734958835       | MFLOPS:   26060.325249237776       | TIME:   25.581670999526978     
